Epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.7527261972427368,0.6060746312141418,0.7120953798294067,0.7434375286102295,9.999999747378752e-05
2,0.7704096436500549,0.5708792209625244,0.7172061204910278,0.7515376806259155,9.999999747378752e-05
3,0.7730621695518494,0.551011323928833,0.7257240414619446,0.7387115359306335,9.999999747378752e-05
4,0.7860300540924072,0.5257691740989685,0.7308347821235657,0.7375110983848572,9.999999747378752e-05
5,0.7916298508644104,0.5147024989128113,0.735945463180542,0.7301360964775085,9.999999747378752e-05
6,0.7981137633323669,0.49398764967918396,0.735945463180542,0.7268376350402832,9.999999747378752e-05
7,0.8028293251991272,0.4646678864955902,0.7478705048561096,0.7192447185516357,9.999999747378752e-05
8,0.8013557195663452,0.47251853346824646,0.7478705048561096,0.7162144780158997,9.999999747378752e-05
9,0.8137341737747192,0.4500385820865631,0.7495741248130798,0.7065619826316833,9.999999747378752e-05
10,0.8172708749771118,0.4409025013446808,0.7495741248130798,0.7124959230422974,9.999999747378752e-05
11,0.8293545246124268,0.4136950373649597,0.7461669445037842,0.723868191242218,9.999999747378752e-05
12,0.8290598392486572,0.39942678809165955,0.7410562038421631,0.7146396636962891,1.9999999494757503e-05
13,0.8252283930778503,0.3971549868583679,0.7478705048561096,0.7138928174972534,1.9999999494757503e-05
14,0.8376068472862244,0.39713624119758606,0.7461669445037842,0.710834264755249,3.999999989900971e-06
